CustomerID,Name,Gender,Age,City,Signup_Date,Last_purchase_date,purchase_amount,feedback_score,Country
,Ankit,F,36.0,Mumbai,2024-12-31,2025-08-13,-999.0,2.0,Canada
C2,Ravi,Female,43.0,Kolkata,,,-999.0,-1.0,Canada
3,Ravi,female,66.0,Ahmedabad,,2023-06-20,-999.0,10.0,India
C4,Ankit,male,44.0,Kolkata,,2025-09-13,-999.0,3.0,USA
5,Rahul,Male,200.0,Ahmedabad,2025-07-09,,-999.0,3.0,USA
C6,Amit,nan,64.0,Mumbai,,,-999.0,5.0,UK
7,Kiran,nan,200.0,Pune,,,-999.0,3.0,Australia
8,Rahul,nan,200.0,Delhi,,2021-11-15,-999.0,10.0,Canada
C9,Simran,Female,43.0,Pune,,,-999.0,-1.0,India
10,Simran,nan,43.0,Pune,2023-12-18,,887.49,10.0,Canada
,Ankit,nan,24.0,Chennai,,,-999.0,-1.0,nan
C12,Ravi,male,-5.0,Hyderabad,2025-05-29,2021-03-20,2712.5,3.0,UK
13,Rahul,male,43.0,Bangalore,,,2822.0,-1.0,Australia
14,Ravi,nan,43.0,Mumbai,2024-12-15,2022-03-26,-999.0,1.0,USA
15,Kiran,nan,62.0,nan,2022-10-16,2025-12-04,-999.0,5.0,USA
,nan,female,30.0,Pune,,,-999.0,3.0,Canada
17,Pooja,male,43.0,Pune,2021-12-18,2022-11-11,509.03,5.0,India
18,Priya,Female,-5.0,Ahmedabad,,2021-10-10,1582.43,3.0,UK
19,Sneha,nan,38.0,Pune,2023-01-07,,-999.0,-1.0,nan
20,Simran,M,-5.0,Pune,2021-07-21,2024-07-06,938.55,-1.0,Canada
C21,nan,Female,26.0,Mumbai,2021-06-28,,-999.0,2.0,USA
C22,Ravi,M,200.0,Kolkata,,,-999.0,3.0,nan
23,Rahul,Male,200.0,Bangalore,2022-05-28,,-999.0,3.0,Australia
C24,Kiran,Male,200.0,Chennai,,,-999.0,10.0,nan
,Ankit,female,43.0,Hyderabad,,,-999.0,4.0,Australia
26,Simran,female,-5.0,Kolkata,2025-07-17,2020-09-05,1250.98,3.0,UK
,Kiran,nan,43.0,Kolkata,2024-05-28,2020-11-14,4772.57,4.0,UK
C28,Neha,female,43.0,Ahmedabad,,2022-05-30,84.02,2.0,Australia
C29,nan,nan,47.0,Hyderabad,,,-999.0,2.0,nan
C30,Simran,nan,-5.0,Pune,2022-10-11,2024-06-13,-999.0,10.0,India
31,Sneha,nan,21.0,Mumbai,2025-02-28,,-999.0,10.0,USA
,Rahul,female,200.0,nan,,2024-05-09,41.61,3.0,Canada
C33,Ravi,nan,200.0,Chennai,2025-11-30,2024-01-23,-999.0,4.0,nan
,nan,M,-5.0,Kolkata,2023-04-16,2023-04-06,-999.0,3.0,Canada
C35,Pooja,male,-5.0,nan,2023-05-31,,1380.12,3.0,India
C36,Rahul,M,43.0,Delhi,2024-09-26,,-999.0,3.0,Australia
37,Rahul,Male,200.0,Pune,,2025-05-18,-999.0,-1.0,nan
38,Kiran,Female,200.0,Mumbai,,2025-12-03,-999.0,-1.0,India
39,Ankit,M,-5.0,Pune,2025-10-12,,870.32,1.0,UK
40,Rahul,Male,43.0,nan,2024-06-26,,-999.0,-1.0,India
41,Ravi,nan,42.0,Ahmedabad,2023-01-08,,-999.0,-1.0,Canada
,Simran,female,43.0,nan,,,-999.0,1.0,Canada
C43,Kiran,F,-5.0,nan,,,1719.83,5.0,Australia
,Kiran,Female,50.0,Chennai,2024-11-13,,-999.0,-1.0,Australia
45,Neha,Female,43.0,Chennai,2022-12-07,,3631.99,-1.0,Australia
,Neha,female,67.0,Ahmedabad,,2022-07-01,1661.36,1.0,USA
C47,Rahul,Male,47.0,Mumbai,2024-10-25,,-999.0,10.0,India
48,nan,Female,200.0,Pune,,2022-04-08,-999.0,3.0,India
C49,Sneha,Male,22.0,Mumbai,,2024-03-15,-999.0,5.0,Australia
C50,Sneha,Female,38.0,Delhi,,,3841.35,-1.0,nan
,nan,F,-5.0,Kolkata,,,-999.0,1.0,Canada
C52,nan,M,52.0,nan,,,-999.0,3.0,UK
53,Rahul,Male,24.0,nan,,2024-06-14,-999.0,3.0,UK
C54,Sneha,Female,200.0,Mumbai,2021-07-25,,3147.13,3.0,Australia
55,Amit,Male,43.0,Pune,,,4911.38,-1.0,Australia
56,Rahul,female,43.0,Chennai,,,-999.0,1.0,USA
57,Ravi,male,43.0,Hyderabad,,2021-07-28,-999.0,-1.0,India
,Pooja,Female,200.0,Chennai,2023-09-24,,-999.0,-1.0,Canada
C59,Simran,F,-5.0,Mumbai,,,-999.0,-1.0,Canada
,nan,male,57.0,Kolkata,,,4812.75,10.0,nan
61,Pooja,female,59.0,Kolkata,,,-999.0,1.0,Canada
,nan,Male,43.0,Kolkata,2024-04-12,2026-01-21,-999.0,4.0,Australia
63,Pooja,nan,200.0,Ahmedabad,,,176.23,-1.0,nan
64,Ankit,M,200.0,Ahmedabad,,,-999.0,10.0,USA
65,Simran,nan,43.0,Delhi,,,940.07,1.0,USA
C66,Priya,nan,23.0,Ahmedabad,2025-08-25,,659.47,10.0,USA
67,Simran,male,43.0,Ahmedabad,,,-999.0,-1.0,USA
C68,nan,Female,-5.0,Mumbai,2020-12-30,,-999.0,10.0,India
69,Rahul,male,-5.0,Hyderabad,2022-05-09,2022-11-18,1019.16,3.0,nan
C70,Amit,M,200.0,Delhi,2022-01-25,,-999.0,4.0,Canada
C71,Sneha,M,200.0,Kolkata,2023-11-23,2023-06-09,-999.0,10.0,UK
C72,Sneha,nan,23.0,Mumbai,,2024-10-05,-999.0,-1.0,Australia
73,nan,F,43.0,Bangalore,2025-12-13,,-999.0,10.0,nan
,Simran,Female,43.0,Bangalore,2023-09-22,2023-05-18,-999.0,-1.0,Canada
75,nan,Male,68.0,Mumbai,2021-04-01,,-999.0,-1.0,UK
